"ProgrammingGroup","Repeater Name","Transmit Frequency","Receive Frequency","Color Code","Contact","TG ID","TS","TG Status","Channel Name"
"Seattle","Cougar Mtn   html Seattle","441.2875","446.2875","1","DCI 1","3160.0","1.0","F/4","DCI 1"
"Seattle","Cougar Mtn   html Seattle","441.2875","446.2875","1","North America 2","3163.0","2.0","P10/3","North America 2"
"Seattle","Cougar Mtn   html Seattle","441.2875","446.2875","1","Mountain 2 (bm)","3177.0","2.0","P15/3","Mountain 2 (bm)"
"Seattle","Cougar Mtn   html Seattle","441.2875","446.2875","1","Local 2","3166.0","2.0","F/5","Local 2"
"Seattle","Cougar Mtn   html Seattle","441.2875","446.2875","1","Local 1","3181.0","1.0","F/5","Local 1"
"Seattle","Cougar Mtn   html Seattle","441.2875","446.2875","1","I-5","3168.0","1.0","F/3","I-5"
"Seattle","Cougar Mtn   html Seattle","441.2875","446.2875","1","Hawaii 1 (TS2)","3115.0","2.0","P30/3","Hawaii 1 (TS2)"
"Seattle","Cougar Mtn   html Seattle","441.2875","446.2875","1","Fusion 2","3182.0","2.0","P15/0","Fusion 2"
"Seattle","Cougar Mtn   html Seattle","441.2875","446.2875","1","DCI 2","3162.0","2.0","P/4","DCI 2"
"Seattle","Cougar Mtn   html Seattle","441.2875","446.2875","1","Comm 2","3777216.0","2.0","P15/3","Comm 2"
"Seattle","Cougar Mtn   html Seattle","441.2875","446.2875","1","Comm 1","3777215.0","1.0","P15/3","Comm 1"
"Seattle","Cougar Mtn   html Seattle","441.2875","446.2875","1","Canada 2","302.0","2.0","P15/3","Canada 2"
"Seattle","Cougar Mtn   html Seattle","441.2875","446.2875","1","Cascades East 1","3191.0","1.0","P15/m","Cascades East 1"
"Seattle","Cougar Mtn   html Seattle","441.2875","446.2875","1","California 1","3106.0","1.0","P60/3","California 1"
"Seattle","Cougar Mtn   html Seattle","441.2875","446.2875","1","British Columbia 1","3027.0","1.0","P15/3","British Columbia 1"
"Seattle","Cougar Mtn   html Seattle","441.2875","446.2875","1","Bridge 2 (bm)","3100.0","2.0","P3/3","Bridge 2 (bm)"
"Seattle","Cougar Mtn   html Seattle","441.2875","446.2875","1","Oregon 1 (bm)","3141.0","1.0","P60/3","Oregon 1 (bm)"
"Seattle","Cougar Mtn   html Seattle","441.2875","446.2875","1","Parrot 1","9998.0","1.0","P2/0","Parrot 1"
"Seattle","Cougar Mtn   html Seattle","441.2875","446.2875","1","PNW 1 (Calling Only)","3187.0","1.0","F/3","PNW 1 (Calling Only)"
"Seattle","Cougar Mtn   html Seattle","441.2875","446.2875","1","PNW 2 (Calling Only)","103187.0","2.0","F/3","PNW 2 (Calling Only)"
"Seattle","Cougar Mtn   html Seattle","441.2875","446.2875","1","Washington 2","103153.0","2.0","F/3","Washington 2"
"Seattle","Cougar Mtn   html Seattle","441.2875","446.2875","1","Washington 1 (bm ptt)","3153.0","1.0","F/3","Washington 1 (bm ptt)"
"Seattle","Cougar Mtn   html Seattle","441.2875","446.2875","1","USA 2","1776.0","2.0","P5/3","USA 2"
"Seattle","Cougar Mtn   html Seattle","441.2875","446.2875","1","TAC English 2","123.0","2.0","P5/0","TAC English 2"
"Seattle","Cougar Mtn   html Seattle","441.2875","446.2875","1","TAC 319","319.0","2.0","P15/3m","TAC 319"
"Seattle","Cougar Mtn   html Seattle","441.2875","446.2875","1","TAC 314","314.0","2.0","P5/m","TAC 314"
"Seattle","Cougar Mtn   html Seattle","441.2875","446.2875","1","TAC 313","313.0","2.0","P5/m","TAC 313"
"Seattle","Cougar Mtn   html Seattle","441.2875","446.2875","1","Audio Test 2","9999.0","2.0","P2/0","Audio Test 2"
"Seattle","Cougar Mtn   html Seattle","441.2875","446.2875","1","TAC 312 (bm)","312.0","2.0","P5/3","TAC 312 (bm)"
"Seattle","Cougar Mtn   html Seattle","441.2875","446.2875","1","TAC 310 (bm)","310.0","2.0","P5/3","TAC 310 (bm)"
"Seattle","Cougar Mtn   html Seattle","441.2875","446.2875","1","TAC 2","8952.0","2.0","P15/m","TAC 2"
"Seattle","Cougar Mtn   html Seattle","441.2875","446.2875","1","TAC 1","8951.0","2.0","P5/0","TAC 1"
"Seattle","Cougar Mtn   html Seattle","441.2875","446.2875","1","SNARS 2","31328.0","2.0","P15/3","SNARS 2"
"Seattle","Cougar Mtn   html Seattle","441.2875","446.2875","1","PS 2","103190.0","2.0","P60/60?","PS 2"
"Seattle","Cougar Mtn   html Seattle","441.2875","446.2875","1","PS 1","3190.0","1.0","F/120?","PS 1"
"Seattle","Cougar Mtn   html Seattle","441.2875","446.2875","1","PNW Reg 2 (bm)","31771.0","2.0","F/m","PNW Reg 2 (bm)"
"Seattle","Cougar Mtn   html Seattle","441.2875","446.2875","1","TAC 311 (bm)","311.0","2.0","P5/3","TAC 311 (bm)"
"Seattle","Cougar Mtn   html Seattle","441.2875","446.2875","1","Worldwide 2 ","3161.0","2.0","P10/3","Worldwide 2 "
"Seattle","Cougar Mtn   html Seattle","441.2875","446.2875","1","Worldwide Eng 2 ","13.0","2.0","P10/3","Worldwide Eng 2 "
"Seattle","Cougar Mtn   html Seattle","441.2875","446.2875","1","Net 2 (bm)","31002.0","2.0","Some","Net 2 (bm)"
"Seattle","East Tiger Seattle","442.0250","447.025","1","DCI 1","3160.0","1.0","F/4","DCI 1"
"Seattle","East Tiger Seattle","442.0250","447.025","1","North America 2","3163.0","2.0","P10/3","North America 2"
"Seattle","East Tiger Seattle","442.0250","447.025","1","Mountain 2 (bm)","3177.0","2.0","P15/3","Mountain 2 (bm)"
"Seattle","East Tiger Seattle","442.0250","447.025","1","Local 2","3166.0","2.0","F/5","Local 2"
"Seattle","East Tiger Seattle","442.0250","447.025","1","Local 1","3181.0","1.0","F/5","Local 1"
"Seattle","East Tiger Seattle","442.0250","447.025","1","I-5","3168.0","1.0","F/3","I-5"
"Seattle","East Tiger Seattle","442.0250","447.025","1","Hawaii 1 (TS2)","3115.0","2.0","P30/3","Hawaii 1 (TS2)"
"Seattle","East Tiger Seattle","442.0250","447.025","1","Fusion 2","3182.0","2.0","P15/0","Fusion 2"
"Seattle","East Tiger Seattle","442.0250","447.025","1","DCI 2","3162.0","2.0","P/4","DCI 2"
"Seattle","East Tiger Seattle","442.0250","447.025","1","Comm 2","3777216.0","2.0","P15/3","Comm 2"
"Seattle","East Tiger Seattle","442.0250","447.025","1","Comm 1","3777215.0","1.0","P15/3","Comm 1"
"Seattle","East Tiger Seattle","442.0250","447.025","1","Canada 2","302.0","2.0","P15/3","Canada 2"
"Seattle","East Tiger Seattle","442.0250","447.025","1","Cascades East 1","3191.0","1.0","P15/m","Cascades East 1"
"Seattle","East Tiger Seattle","442.0250","447.025","1","California 1","3106.0","1.0","P60/3","California 1"
"Seattle","East Tiger Seattle","442.0250","447.025","1","British Columbia 1","3027.0","1.0","P15/3","British Columbia 1"
"Seattle","East Tiger Seattle","442.0250","447.025","1","Bridge 2 (bm)","3100.0","2.0","P3/3","Bridge 2 (bm)"
"Seattle","East Tiger Seattle","442.0250","447.025","1","Oregon 1 (bm)","3141.0","1.0","P60/3","Oregon 1 (bm)"
"Seattle","East Tiger Seattle","442.0250","447.025","1","Parrot 1","9998.0","1.0","P2/0","Parrot 1"
"Seattle","East Tiger Seattle","442.0250","447.025","1","PNW 1 (Calling Only)","3187.0","1.0","F/3","PNW 1 (Calling Only)"
"Seattle","East Tiger Seattle","442.0250","447.025","1","PNW 2 (Calling Only)","103187.0","2.0","F/3","PNW 2 (Calling Only)"
"Seattle","East Tiger Seattle","442.0250","447.025","1","Washington 2","103153.0","2.0","F/3","Washington 2"
"Seattle","East Tiger Seattle","442.0250","447.025","1","Washington 1 (bm ptt)","3153.0","1.0","F/3","Washington 1 (bm ptt)"
"Seattle","East Tiger Seattle","442.0250","447.025","1","USA 2","1776.0","2.0","P5/3","USA 2"
"Seattle","East Tiger Seattle","442.0250","447.025","1","TAC English 2","123.0","2.0","P5/0","TAC English 2"
"Seattle","East Tiger Seattle","442.0250","447.025","1","TAC 319","319.0","2.0","P15/3m","TAC 319"
"Seattle","East Tiger Seattle","442.0250","447.025","1","TAC 314","314.0","2.0","P5/m","TAC 314"
"Seattle","East Tiger Seattle","442.0250","447.025","1","TAC 313","313.0","2.0","P5/m","TAC 313"
"Seattle","East Tiger Seattle","442.0250","447.025","1","Audio Test 2","9999.0","2.0","P2/0","Audio Test 2"
"Seattle","East Tiger Seattle","442.0250","447.025","1","TAC 312 (bm)","312.0","2.0","P5/3","TAC 312 (bm)"
"Seattle","East Tiger Seattle","442.0250","447.025","1","TAC 310 (bm)","310.0","2.0","P5/3","TAC 310 (bm)"
"Seattle","East Tiger Seattle","442.0250","447.025","1","TAC 2","8952.0","2.0","P15/m","TAC 2"
"Seattle","East Tiger Seattle","442.0250","447.025","1","TAC 1","8951.0","2.0","P5/0","TAC 1"
"Seattle","East Tiger Seattle","442.0250","447.025","1","SNARS 2","31328.0","2.0","P15/3","SNARS 2"
"Seattle","East Tiger Seattle","442.0250","447.025","1","PS 2","103190.0","2.0","P60/60?","PS 2"
"Seattle","East Tiger Seattle","442.0250","447.025","1","PS 1","3190.0","1.0","F/120?","PS 1"
"Seattle","East Tiger Seattle","442.0250","447.025","1","PNW Reg 2 (bm)","31771.0","2.0","F/m","PNW Reg 2 (bm)"
"Seattle","East Tiger Seattle","442.0250","447.025","1","TAC 311 (bm)","311.0","2.0","P5/3","TAC 311 (bm)"
"Seattle","East Tiger Seattle","442.0250","447.025","1","Worldwide 2 ","3161.0","2.0","P10/3","Worldwide 2 "
"Seattle","East Tiger Seattle","442.0250","447.025","1","Worldwide Eng 2 ","13.0","2.0","P10/3","Worldwide Eng 2 "
"Seattle","East Tiger Seattle","442.0250","447.025","1","Net 2 (bm)","31002.0","2.0","Some","Net 2 (bm)"
"Seattle","Metro Seattle","441.3250","446.325","1","DCI 1","3160.0","1.0","F/4","DCI 1"
"Seattle","Metro Seattle","441.3250","446.325","1","North America 2","3163.0","2.0","P10/3","North America 2"
"Seattle","Metro Seattle","441.3250","446.325","1","Mountain 2 (bm)","3177.0","2.0","P15/3","Mountain 2 (bm)"
"Seattle","Metro Seattle","441.3250","446.325","1","Local 2","3166.0","2.0","F/5","Local 2"
"Seattle","Metro Seattle","441.3250","446.325","1","Local 1","3181.0","1.0","F/5","Local 1"
"Seattle","Metro Seattle","441.3250","446.325","1","I-5","3168.0","1.0","F/3","I-5"
"Seattle","Metro Seattle","441.3250","446.325","1","Hawaii 1 (TS2)","3115.0","2.0","P30/3","Hawaii 1 (TS2)"
"Seattle","Metro Seattle","441.3250","446.325","1","Fusion 2","3182.0","2.0","P15/0","Fusion 2"
"Seattle","Metro Seattle","441.3250","446.325","1","DCI 2","3162.0","2.0","P/4","DCI 2"
"Seattle","Metro Seattle","441.3250","446.325","1","Comm 2","3777216.0","2.0","P15/3","Comm 2"
"Seattle","Metro Seattle","441.3250","446.325","1","Comm 1","3777215.0","1.0","P15/3","Comm 1"
"Seattle","Metro Seattle","441.3250","446.325","1","Canada 2","302.0","2.0","P15/3","Canada 2"
"Seattle","Metro Seattle","441.3250","446.325","1","Cascades East 1","3191.0","1.0","P15/m","Cascades East 1"
"Seattle","Metro Seattle","441.3250","446.325","1","California 1","3106.0","1.0","P60/3","California 1"
"Seattle","Metro Seattle","441.3250","446.325","1","British Columbia 1","3027.0","1.0","P15/3","British Columbia 1"
"Seattle","Metro Seattle","441.3250","446.325","1","Bridge 2 (bm)","3100.0","2.0","P3/3","Bridge 2 (bm)"
"Seattle","Metro Seattle","441.3250","446.325","1","Oregon 1 (bm)","3141.0","1.0","P60/3","Oregon 1 (bm)"
"Seattle","Metro Seattle","441.3250","446.325","1","Parrot 1","9998.0","1.0","P2/0","Parrot 1"
"Seattle","Metro Seattle","441.3250","446.325","1","PNW 1 (Calling Only)","3187.0","1.0","F/3","PNW 1 (Calling Only)"
"Seattle","Metro Seattle","441.3250","446.325","1","PNW 2 (Calling Only)","103187.0","2.0","F/3","PNW 2 (Calling Only)"
"Seattle","Metro Seattle","441.3250","446.325","1","Washington 2","103153.0","2.0","F/3","Washington 2"
"Seattle","Metro Seattle","441.3250","446.325","1","Washington 1 (bm ptt)","3153.0","1.0","F/3","Washington 1 (bm ptt)"
"Seattle","Metro Seattle","441.3250","446.325","1","USA 2","1776.0","2.0","P5/3","USA 2"
"Seattle","Metro Seattle","441.3250","446.325","1","TAC English 2","123.0","2.0","P5/0","TAC English 2"
"Seattle","Metro Seattle","441.3250","446.325","1","TAC 319","319.0","2.0","P15/3m","TAC 319"
"Seattle","Metro Seattle","441.3250","446.325","1","TAC 314","314.0","2.0","P5/m","TAC 314"
"Seattle","Metro Seattle","441.3250","446.325","1","TAC 313","313.0","2.0","P5/m","TAC 313"
"Seattle","Metro Seattle","441.3250","446.325","1","Audio Test 2","9999.0","2.0","P2/0","Audio Test 2"
"Seattle","Metro Seattle","441.3250","446.325","1","TAC 312 (bm)","312.0","2.0","P5/3","TAC 312 (bm)"
"Seattle","Metro Seattle","441.3250","446.325","1","TAC 310 (bm)","310.0","2.0","P5/3","TAC 310 (bm)"
"Seattle","Metro Seattle","441.3250","446.325","1","TAC 2","8952.0","2.0","P15/m","TAC 2"
"Seattle","Metro Seattle","441.3250","446.325","1","TAC 1","8951.0","2.0","P5/0","TAC 1"
"Seattle","Metro Seattle","441.3250","446.325","1","SNARS 2","31328.0","2.0","P15/3","SNARS 2"
"Seattle","Metro Seattle","441.3250","446.325","1","PS 2","103190.0","2.0","P60/60?","PS 2"
"Seattle","Metro Seattle","441.3250","446.325","1","PS 1","3190.0","1.0","F/120?","PS 1"
"Seattle","Metro Seattle","441.3250","446.325","1","PNW Reg 2 (bm)","31771.0","2.0","F/m","PNW Reg 2 (bm)"
"Seattle","Metro Seattle","441.3250","446.325","1","TAC 311 (bm)","311.0","2.0","P5/3","TAC 311 (bm)"
"Seattle","Metro Seattle","441.3250","446.325","1","Worldwide 2 ","3161.0","2.0","P10/3","Worldwide 2 "
"Seattle","Metro Seattle","441.3250","446.325","1","Worldwide Eng 2 ","13.0","2.0","P10/3","Worldwide Eng 2 "
"Seattle","Metro Seattle","441.3250","446.325","1","Net 2 (bm)","31002.0","2.0","Some","Net 2 (bm)"
